filename,width,height,class,xmin,ymin,xmax,ymax
flat-740_jpg.rf.21bc4f296533dce2567f058b664e3da3.jpg,640,640,flat,239,480,419,498
flat-745_jpg.rf.1435b26afb05747cad983b0140364838.jpg,640,640,flat,230,466,363,476
high-10_jpg.rf.27b74832ac93c127222e3b0f7bb53161.jpg,640,640,normal,257,319,364,361
normal-28_jpg.rf.0eb4c63a445e27ff3b1880690be114dc.jpg,640,640,normal,184,458,404,525
flat-736_jpg.rf.245139dcfc438e86119a235955b9527c.jpg,640,640,normal,242,512,441,541
normal-1_jpg.rf.322bd5a82ddfa0013f23b417e39aa3bf.jpg,640,640,normal,564,55,597,347
high-0_jpg.rf.2f91271b772a0c4bb944d32d33291ec8.jpg,640,640,high,179,372,397,461
normal-30_jpg.rf.09920a9c2c11e6eb1000b1bb36ac2146.jpg,640,640,normal,241,96,371,136
flat-738_jpg.rf.1afbb435ae3aba49b448d1c913abbb31.jpg,640,640,flat,219,486,349,510
normal-26_jpg.rf.14904f76c4a1c7024f06f9ef86d91079.jpg,640,640,flat,268,377,418,386
high-17_jpg.rf.2d5fddfc23c8e3e20f9aa70880c6eb61.jpg,640,640,high,266,326,412,372
normal-13_jpg.rf.1ba7485c3271151a94f7c7683e177687.jpg,640,640,flat,218,477,326,494
flat-722_jpg.rf.1f50ab837e6fbbe4f701660eb6624be2.jpg,640,640,flat,179,473,327,491
high-12_jpg.rf.0c271a6e52edc9cf475ad86c737eb6ee.jpg,640,640,high,207,435,418,506
normal-31_jpg.rf.3bc00a9d172bf83fa6799ffce1cd5d4e.jpg,640,640,normal,234,390,411,456
flat-717_jpg.rf.3a515e59a353304f381ca5361e8a4197.jpg,640,640,flat,221,402,381,460
flat-744_jpg.rf.3c3718faeddc00805a5e033e13dae726.jpg,640,640,flat,229,500,406,534
flat-727_jpg.rf.49a5f8202f2454bcedd5fac7a3de11cb.jpg,640,640,flat,161,436,287,486
high-14_jpg.rf.4b6d3b08acfc67d1dbc3993356fe5620.jpg,640,640,high,111,449,274,502
high-6_jpg.rf.3b66c64bce8590d97e28f6d099e484f1.jpg,640,640,high,183,442,361,521
flat-748_jpg.rf.4bbb502d6ec0601d0e12836482e5e515.jpg,640,640,flat,254,501,437,517
flat-728_jpg.rf.53cc9b158fc708d772a2e0360d8b799d.jpg,640,640,flat,388,391,542,400
normal-24_jpg.rf.6afa62770cc8ffd6c410332b54a59b76.jpg,640,640,flat,238,363,364,415
high-16_jpg.rf.6692a2a2ed6fd1799c25cb45f7f9af07.jpg,640,640,normal,202,422,393,480
normal-20_jpg.rf.7da245d6301e399bec15879b31085ad0.jpg,640,640,normal,137,479,378,511
flat-741_jpg.rf.7fdba6f7b4283c9a72b069286f463dcd.jpg,640,640,flat,230,446,428,471
flat-725_jpg.rf.71f64a424a4202906c31225762c74fe6.jpg,640,640,flat,242,494,407,511
normal-23_jpg.rf.426b8c6616b49d8b4bd62dcbd2665a98.jpg,640,640,flat,249,384,364,390
high-25_jpg.rf.7f86b8712d32d70cde223dd11e77d2f4.jpg,640,640,normal,115,457,352,527
high-4_jpg.rf.80279b32b2ef851ad257ff6cf2e130eb.jpg,640,640,normal,254,503,453,562
normal-2_jpg.rf.6f9969d66aac755a919ff9918ed23b60.jpg,640,640,normal,198,459,407,496
normal-14_jpg.rf.777a027686d1c478ce5d4203489dfbdb.jpg,640,640,flat,328,322,449,412
normal-32_jpg.rf.861754037ee2942de600d6070bbf0c64.jpg,640,640,normal,257,454,431,527
high-7_jpg.rf.83d5791247770e8e5f51efc670cf1908.jpg,640,640,normal,196,426,338,471
high-15_jpg.rf.83cdb5cfb9fe51b6d98833dbd74f6a44.jpg,640,640,high,177,403,428,503
flat-749_jpg.rf.80aabeaf4021a3c506100f68e5e54b0e.jpg,640,640,flat,197,421,394,479
normal-3_jpg.rf.83c33d2bc11b559738f82c680aff3b4d.jpg,640,640,normal,232,494,424,531
high-31_jpg.rf.8627cdd75098c1a3340bec42c14c7e67.jpg,640,640,flat,261,444,490,496
normal-8_jpg.rf.89a937b8c907061b7a37a91a765bfdef.jpg,640,640,normal,274,354,450,372
normal-10_jpg.rf.84172b527939aa7c412eb36c67aa7b2f.jpg,640,640,normal,124,327,207,356
normal-12_jpg.rf.8c2ee7fe8e9af1f62bafa44155526695.jpg,640,640,normal,172,486,367,517
high-11_jpg.rf.847ee51325d30131b6733fdecd960293.jpg,640,640,normal,239,414,442,514
normal-25_jpg.rf.9ea0b959d01e0c8f993b872f5d6a48b1.jpg,640,640,normal,248,393,456,455
high-1_jpg.rf.93bde4f23a87bac222c153ce3dc75c17.jpg,640,640,high,250,430,503,521
normal-29_jpg.rf.a6535eee57dbfc440e450e416c412deb.jpg,640,640,normal,265,350,441,467
high-23_jpg.rf.853f7eb91d2f6abc54c02bb3fa6c9855.jpg,640,640,high,243,0,374,91
high-18_jpg.rf.8b871381ea546587a3d42fd6515144ac.jpg,640,640,high,125,259,255,343
normal-6_jpg.rf.bccaef42052a6d64868d675b72387cc0.jpg,640,640,normal,217,504,381,534
high-2_jpg.rf.a5c560deb28402e85eb3e57171cacb56.jpg,640,640,high,235,339,360,387
high-3_jpg.rf.b610456b9324122dd31ea61edd25381f.jpg,640,640,high,231,440,462,517
high-22_jpg.rf.ad9a803e8518ebec73f6c7bc71040185.jpg,640,640,high,234,303,380,344

high-29_jpg.rf.ad3358cb534759617a2a05f5ab499644.jpg,640,640,normal,224,497,403,539
flat-735_jpg.rf.d50565058075119f95d52784fef4563c.jpg,640,640,flat,158,495,305,521
flat-721_jpg.rf.b8b11aa203bcd07a48240ce64d9af19c.jpg,640,640,flat,60,463,299,523
normal-19_jpg.rf.c6dae33908295374c5036b7843456d30.jpg,640,640,normal,244,397,435,451
normal-9_jpg.rf.cb2cc4119552f3e7122201d1443463d3.jpg,640,640,normal,216,470,411,494
normal-21_jpg.rf.ceb2bcaf2f211f124495b86eb919680d.jpg,640,640,flat,172,390,349,459
flat-747_jpg.rf.e20d3f199f3d0575cca33c43f256152a.jpg,640,640,normal,212,506,462,549
high-8_jpg.rf.c40eb8dcbfbe09932f54ff13b84d10f1.jpg,640,640,normal,280,320,390,358
normal-16_jpg.rf.e7f0b8c11adb5786f4537ce090b2e70a.jpg,640,640,flat,303,510,441,535
high-19_jpg.rf.d881469ef4163c40f409bc9d230969e3.jpg,640,640,high,233,332,366,368
flat-739_jpg.rf.f106a93fefe183b4a4b0cca909c40b40.jpg,640,640,normal,198,470,416,501
flat-731_jpg.rf.e8c96a593ba7c7d9ada3618eb0516e82.jpg,640,640,flat,258,477,403,501
high-9_jpg.rf.ecbfae249bf95320a43d76a3950015a6.jpg,640,640,high,258,329,469,415
high-5_jpg.rf.ee5c6b539a4f47aaa5770aa2ef5f362a.jpg,640,640,normal,273,314,404,376
flat-734_jpg.rf.f2edaa3544e91f116d3bff3262670c18.jpg,640,640,flat,245,493,363,523
flat-733_jpg.rf.f811db4ccf56d17b2203f8a11052204e.jpg,640,640,flat,270,518,400,537
high-27_jpg.rf.f90bac33c51d73ed7e3804bd0e59a305.jpg,640,640,high,232,460,485,539
flat-720_jpg.rf.a539472a533bce3243fe2502709a6a3c.jpg,640,640,flat,265,518,453,538
flat-719_jpg.rf.e7a49f08ec817434c3a25806bd921152.jpg,640,640,flat,224,459,396,492
flat-729_jpg.rf.f5e08f5a70e23caf4ea61574a747d442.jpg,640,640,flat,338,384,522,459
flat-742_jpg.rf.dadf0bddacc5d448a6560a10754c5cfe.jpg,640,640,flat,212,506,268,514
